alpha,beta,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.15,0.8,100000,0.3252,0.1371,0.1229,0.1512,0.2002,0,0,0.0634,100,false
0.15,0.85,10000,0.2028,0.0594,0.137,0.1985,0.3363,0,0,0.066,100,false
0.15,0.85,50000,0.1942,0.1664,0.1892,0.1224,0.2618,0,0,0.066,100,false
0.15,0.85,100000,0.298,0.132,0.1633,0.1806,0.1601,0,0,0.066,100,false
0.15,0.9,10000,0.2282,0.1633,0.1982,0.1527,0.1934,0,0,0.0642,100,false
0.15,0.9,50000,0.278,0.1434,0.1602,0.1683,0.1859,0,0,0.0642,100,false
0.15,0.9,100000,0.2703,0.1482,0.1165,0.2025,0.1983,0,0,0.0642,100,false
0.15,0.95,10000,0.1382,0.1959,0.1325,0.2741,0.1926,0,0,0.0667,100,false
0.15,0.95,50000,0.2616,0.1092,0.1384,0.1931,0.231,0,0,0.0667,100,false
0.15,0.95,100000,0.2114,0.1383,0.102,0.2607,0.2209,0,0,0.0667,100,false
0.15,1,10000,0.2506,0.221,0.1071,0.1433,0.2166,0,0,0.0614,100,false
0.15,1,50000,0.2209,0.1829,0.1865,0.1352,0.2131,0,0,0.0614,100,false
0.15,1,100000,0.1991,0.1362,0.1101,0.3683,0.1249,0,0,0.0614,100,false
0.2,0,10000,0.6635,0.0008,0.0002,0.1445,0.053,0.0406,0.0482,0.0492,100,false
0.2,0,50000,0.6635,0.0008,0.0002,0.1445,0.053,0.0406,0.0482,0.0492,100,true
0.2,0,100000,0.6635,0.0008,0.0002,0.1445,0.053,0.0406,0.0482,0.0492,100,true
0.2,0.05,10000,0.5847,0.0004,0,0.3182,0,0.0138,0.036,0.0469,100,false
0.2,0.05,50000,0.5847,0.0004,0,0.3182,0,0.0138,0.036,0.0469,100,true
0.2,0.05,100000,0.5847,0.0004,0,0.3182,0,0.0138,0.036,0.0469,100,true
0.2,0.1,10000,0.6564,0,0.0001,0.2618,0,0.0124,0.0205,0.0488,100,false
0.2,0.1,50000,0.6564,0,0.0001,0.2618,0,0.0124,0.0205,0.0488,100,true
0.2,0.1,100000,0.6564,0,0.0001,0.2618,0,0.0124,0.0205,0.0488,100,true
0.2,0.15,10000,0.7441,0.0002,0,0.1935,0,0.0057,0.0096,0.0469,100,false
0.2,0.15,50000,0.7441,0.0002,0,0.1935,0,0.0057,0.0096,0.0469,100,true
0.2,0.15,100000,0.7441,0.0002,0,0.1935,0,0.0057,0.0096,0.0469,100,true
0.2,0.2,10000,0.3326,0,0.3237,0,0.2909,0,0,0.0528,100,false
0.2,0.2,50000,0.3971,0,0.2857,0,0.2644,0,0,0.0528,100,false
0.2,0.2,100000,0.3112,0,0.3311,0,0.3049,0,0,0.0528,100,false
0.2,0.25,10000,0.3285,0,0.3293,0.0001,0.2894,0,0,0.0527,100,false
0.2,0.25,50000,0.283,0,0.3696,0.0001,0.2946,0,0,0.0527,100,false
0.2,0.25,100000,0.2364,0,0.4433,0.0001,0.2675,0,0,0.0527,100,false
0.2,0.3,10000,0.2419,0,0.4295,0,0.269,0,0,0.0596,100,false
0.2,0.3,50000,0.2185,0,0.4476,0,0.2743,0,0,0.0596,100,false
0.2,0.3,100000,0.2564,0,0.3854,0,0.2986,0,0,0.0596,100,false
0.2,0.35,10000,0.2101,0,0.4622,0,0.2743,0,0,0.0534,100,false
0.2,0.35,50000,0.2076,0,0.4475,0,0.2915,0,0,0.0534,100,false
0.2,0.35,100000,0.2389,0,0.4693,0,0.2384,0,0,0.0534,100,false
0.2,0.4,10000,0,0.1996,0,0,0.7424,0,0,0.058,100,false
0.2,0.4,50000,0,0.1996,0,0,0.7424,0,0,0.058,100,true
0.2,0.4,100000,0,0.1996,0,0,0.7424,0,0,0.058,100,true
0.2,0.45,10000,0.1948,0,0.5702,0,0.181,0,0,0.054,100,false
0.2,0.45,50000,0.2359,0,0.527,0,0.1831,0,0,0.054,100,false
0.2,0.45,100000,0.185,0,0.559,0,0.202,0,0,0.054,100,false
0.2,0.5,10000,0.1587,0.1859,0.1761,0.0471,0.3727,0,0,0.0595,100,false
0.2,0.5,50000,0,0.1364,0,0.0001,0.804,0,0,0.0595,100,true
0.2,0.5,100000,0,0.1364,0,0.0001,0.804,0,0,0.0595,100,true
0.2,0.55,10000,0.3605,0.0701,0.1876,0.1221,0.2039,0,0,0.0558,100,false
0.2,0.55,50000,0.141,0.0001,0.5989,0,0.2042,0,0,0.0558,100,false
0.2,0.55,100000,0.1912,0.0001,0.5773,0,0.1756,0,0,0.0558,100,false
0.2,0.6,10000,0.2954,0.0462,0.2563,0.1422,0.1984,0,0,0.0615,100,false
0.2,0.6,50000,0.2981,0.0944,0.206,0.1052,0.2348,0,0,0.0615,100,false
0.2,0.6,100000,0.2647,0.0698,0.2308,0.1208,0.2524,0,0,0.0615,100,false
0.2,0.65,10000,0.333,0.0583,0.1815,0.0999,0.2639,0,0,0.0634,100,false
0.2,0.65,50000,0.3313,0.1989,0.2316,0.0994,0.0754,0,0,0.0634,100,false
0.2,0.65,100000,0.2054,0.1369,0.2958,0.1329,0.1656,0,0,0.0634,100,false
0.2,0.7,10000,0.1839,0.0929,0.2757,0.1725,0.2143,0,0,0.0607,100,false
0.2,0.7,50000,0.3364,0.0882,0.2447,0.1065,0.1635,0,0,0.0607,100,false
0.2,0.7,100000,0.284,0.0726,0.3136,0.1553,0.1138,0,0,0.0607,100,false
0.2,0.75,10000,0.2675,0.0982,0.3079,0.1672,0.1028,0,0,0.0564,100,false
