alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.15,0.75,1,10000,0.136892,0.191408,0.138069,0.07775,0.208245,0,0.148097,0.0995391,800,false
0.15,0.75,1,50000,0.143044,0.18127,0.143333,0.0930078,0.178431,0,0.148934,0.11198,800,false
0.15,0.75,1,50000,0.133947,0.186727,0.142414,0.0803328,0.193053,0,0.143678,0.119848,800,false
0.45,0.75,1,250000,0,0.248134,0,0.248627,0,0.250622,0,0.252617,800,false
0.15,0.75,1,100000,0.145111,0.187069,0.136752,0.0918891,0.18397,0,0.150209,0.105,800,false
0.15,0.75,1,100000,0.14327,0.181875,0.142902,0.0783922,0.182289,0,0.156014,0.115258,800,false
0.45,0.75,1,250000,0,0.250287,0,0.2443,0,0.258506,0,0.246906,800,false
0.15,0.75,1,250000,0.141838,0.19247,0.138902,0.0901344,0.167339,0,0.150392,0.118925,800,false
0.15,0.75,1,250000,0.14178,0.18778,0.136816,0.0847109,0.192492,0,0.142964,0.113458,800,false
0.45,0.75,1,500000,0,0.259464,0,0.251006,0,0.244369,0,0.245161,800,false
0.5,0.75,1,1000,0,0.259964,0,0.244303,0.00658594,0.244922,0.00661875,0.237606,800,false
0.5,0.75,1,10000,0,0.247863,0,0.257494,0,0.250027,0,0.244617,800,false
0.45,0.75,1,500000,0,0.252998,0,0.252097,0,0.248803,0,0.246102,800,false
0.5,0.75,1,1000,0.00144688,0.255822,0.00125312,0.242938,0.00808281,0.237977,0.00844531,0.244036,800,false
0.5,0.75,1,10000,0,0.242036,0,0.251842,0,0.255658,0,0.250464,800,false
0.5,0.75,1,50000,0,0.259866,0,0.246037,0,0.247589,0,0.246508,800,false
0.5,0.75,1,50000,0,0.248889,0,0.253339,0,0.244044,0,0.253728,800,false
0.5,0.75,1,100000,0,0.252052,0,0.245638,0,0.251911,0,0.2504,800,false
0.5,0.75,1,100000,0,0.251019,0,0.252808,0,0.251614,0,0.244559,800,false
0.15,0.75,1,500000,0.150987,0.182747,0.144088,0.0971172,0.179589,0,0.134734,0.110738,800,false
0.2,0.75,1,1000,0.113053,0.18973,0.128933,0.110178,0.167219,0.0383719,0.130405,0.122111,800,false
0.2,0.75,1,10000,0.131848,0.191647,0.142764,0.0875953,0.199369,0,0.137259,0.109517,800,false
0.15,0.75,1,500000,0.137058,0.181267,0.141884,0.0882719,0.191805,0,0.147041,0.112673,800,false
0.2,0.75,1,1000,0.105967,0.196222,0.121298,0.109914,0.155639,0.0378531,0.1332,0.139906,800,false
0.2,0.75,1,10000,0.142914,0.19517,0.138947,0.0883016,0.185331,0,0.141994,0.107342,800,false
0.2,0.75,1,50000,0.134747,0.18743,0.131309,0.0853813,0.209295,0,0.145563,0.106275,800,false
0.2,0.75,1,50000,0.130137,0.184811,0.13005,0.0867672,0.202902,0,0.149889,0.115444,800,false
0.2,0.75,1,100000,0.134552,0.189522,0.143106,0.0855156,0.193989,0,0.143173,0.110142,800,false
0.5,0.75,1,250000,0,0.242928,0,0.25243,0,0.254503,0,0.250139,800,false
0.2,0.75,1,100000,0.133811,0.197994,0.137441,0.0835219,0.196398,0,0.139672,0.111162,800,false
0.5,0.75,1,250000,0,0.256516,0,0.247155,0,0.245363,0,0.250967,800,false
