alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.15,0.75,1,7000,0.144947,0.188767,0.143536,0.0912188,0.17768,0,0.138825,0.115027,800,0
0.15,0.75,1,10000,0.140434,0.192009,0.148616,0.0836672,0.184367,0,0.137609,0.113297,800,0
0.15,0.75,1,25000,0.142672,0.191858,0.140255,0.0920734,0.191127,0,0.12663,0.115386,800,0
0.15,0.75,1,50000,0.136547,0.179977,0.147706,0.0833437,0.20638,0,0.141336,0.104711,800,0
0.1,0.75,1,1000,0.119639,0.190037,0.138858,0.107214,0.142917,0.0534266,0.110497,0.137411,800,0
0.1,0.75,1,2000,0.138013,0.179555,0.146383,0.0904656,0.168861,0.0161859,0.144731,0.115806,800,0
0.1,0.75,1,3000,0.140397,0.173717,0.149012,0.0935984,0.175412,0.0086375,0.143134,0.116091,800,0
0.1,0.75,1,5000,0.132709,0.177308,0.144711,0.0945312,0.202817,0.00318125,0.138556,0.106186,800,0
0.1,0.75,1,7000,0.144866,0.178711,0.153842,0.0850703,0.179806,0.000557813,0.148541,0.108606,800,0
0.1,0.75,1,10000,0.14082,0.174986,0.152258,0.0849203,0.189975,0,0.142383,0.114658,800,0
0.1,0.75,1,25000,0.149794,0.18413,0.163378,0.0777125,0.182105,0,0.139853,0.103028,800,0
0.1,0.75,1,50000,0.142345,0.172439,0.149231,0.0835016,0.191195,0,0.142941,0.118347,800,0
0.2,0.75,1,1000,0.112047,0.201527,0.124139,0.108086,0.157213,0.0323375,0.130572,0.13408,800,0
0.2,0.75,1,2000,0.124273,0.181427,0.140662,0.0981031,0.181,0.0100719,0.145834,0.118628,800,0
0.2,0.75,1,3000,0.128667,0.183723,0.149977,0.0913406,0.173502,0.00566875,0.146327,0.120795,800,0
0.2,0.75,1,5000,0.13243,0.191505,0.1325,0.0894344,0.195922,0,0.145078,0.113131,800,0
0.2,0.75,1,7000,0.133713,0.191222,0.155025,0.0842406,0.178594,0,0.14978,0.107427,800,0
0.2,0.75,1,10000,0.132073,0.185194,0.142056,0.0823531,0.192844,0,0.147675,0.117805,800,0
0.2,0.75,1,25000,0.137622,0.188931,0.138184,0.0815859,0.19712,0,0.14717,0.109386,800,0
0.2,0.75,1,50000,0.122938,0.193003,0.140958,0.089775,0.189505,0,0.146992,0.11683,800,0
0.15,0.75,1,1000,0.127381,0.178803,0.137298,0.104284,0.158992,0.0329047,0.128473,0.131862,800,0
0.15,0.75,1,2000,0.137211,0.179577,0.151773,0.0945766,0.163572,0.00991094,0.144334,0.119045,800,0
0.15,0.75,1,3000,0.1404,0.190219,0.1421,0.0929344,0.179192,0.00513906,0.136623,0.113392,800,0
0.15,0.75,1,5000,0.139131,0.183337,0.141856,0.0919594,0.177358,0,0.147175,0.119183,800,0
0.15,0.75,1,7000,0.129831,0.195048,0.138727,0.0786859,0.189048,0,0.145989,0.12267,800,0
0.15,0.75,1,10000,0.139089,0.192167,0.146166,0.0954094,0.183075,0,0.136684,0.107409,800,0
0.15,0.75,1,25000,0.135602,0.178405,0.143923,0.0981359,0.17405,0,0.145884,0.124,800,0
0.15,0.75,1,50000,0.141858,0.185133,0.139945,0.0933578,0.185883,0,0.142492,0.111331,800,0
0.25,0.75,1,1000,0.112187,0.20215,0.114972,0.104581,0.157594,0.0299922,0.139002,0.139522,800,0
